person1,person2,relationship,family
Q1960481,Q922837,parent - child,4396
Q6677965,Q923186,parent - child,3932
Q1293776,Q923186,grandparent - child,3932
Q2145637,Q923265,parent - child,566
Q1681746,Q923492,parent - child,275
Q1769524,Q924699,parent - child,3862
Q60198152,Q924783,parent - child,5942
Q5344334,Q925416,parent - child,3361
Q4990738,Q925877,parent - child,471
Q445497,Q925877,parent - child,471
Q11532915,Q926370,parent - child,1577
Q3576085,Q926425,parent - child,4145
Q236688,Q926826,parent - child,2703
Q83410,Q926826,parent - child,2703
Q313531,Q926984,parent - child,5021
Q37693161,Q928356,parent - child,1173
Q183703,Q928356,parent - child,1173
Q772645,Q939942,parent - child,4382
Q11860,Q940243,parent - child,4081
Q20604139,Q940681,parent - child,3844
Q2396242,Q940832,parent - child,4569
Q55687452,Q941189,parent - child,2732
Q6070848,Q941189,parent - child,2732
Q1761616,Q941210,parent - child,743
Q6228856,Q941210,parent - child,743
Q6228873,Q941210,grandparent - child,743
Q4977233,Q941210,grandparent - child,743
Q2397086,Q941295,parent - child,4924
Q1065346,Q941751,parent - child,1139
Q7652502,Q942112,parent - child,2295
Q18379294,Q942959,parent - child,2808
Q727289,Q943043,parent - child,4746
Q433570,Q943363,parent - child,343
Q1689033,Q943457,parent - child,3336
Q1285376,Q943457,parent - child,3336
Q707538,Q943790,parent - child,3718
Q22122790,Q943823,parent - child,4857
Q32717,Q945734,parent - child,2263
Q128956,Q945772,parent - child,4061
Q3296260,Q945772,parent - child,4061
Q191952,Q961297,parent - child,5175
Q1693056,Q961839,parent - child,6109
Q328102,Q961972,parent - child,1999
Q3241816,Q962377,parent - child,6081
Q99445793,Q962451,parent - child,4684
Q155279,Q962932,parent - child,2233
Q429648,Q962948,parent - child,201
Q3189029,Q963540,parent - child,4819
Q3790523,Q964367,parent - child,891
Q1627284,Q964580,parent - child,1388
Q1239152,Q964607,parent - child,1455
Q2444236,Q928292,parent - child,1352
Q772141,Q928950,parent - child,4629
Q723706,Q929282,parent - child,3689
Q463099,Q930324,parent - child,1590
Q12369753,Q930324,parent - child,1590
Q527326,Q930653,parent - child,5872
Q4269417,Q930903,parent - child,4385
Q187149,Q933448,parent - child,140
Q72919,Q933448,parent - child,140
Q240772,Q933683,parent - child,4387
Q16018960,Q1027106,parent - child,4174
Q1027946,Q1027941,parent - child,1756
Q963156,Q1028119,parent - child,2041
Q119798,Q1028724,parent - child,1383
Q436789,Q1028724,grandparent - child,1383
Q104027,Q1028724,grandparent - child,1383
Q932270,Q1028836,parent - child,845
Q1029558,Q1029565,parent - child,5005
Q230697,Q1030337,parent - child,1145
Q34479,Q1030337,parent - child,1145
Q230697,Q1030348,parent - child,1145
Q34479,Q1030348,parent - child,1145
Q230697,Q1030373,parent - child,1145
Q34479,Q1030373,parent - child,1145
Q4890058,Q1030677,parent - child,466
Q111371821,Q1031284,parent - child,5366
Q1276954,Q1032270,parent - child,520
Q670075,Q1032270,grandparent - child,520
Q78515,Q1032270,parent - child,520
Q77335,Q1032270,grandparent - child,520
Q76343,Q1032270,grandparent - child,520
Q22975583,Q1032352,parent - child,5946
Q130852,Q1036065,parent - child,3011
Q2379836,Q1036065,grandparent - child,3011
Q379157,Q944546,parent - child,2326
Q7539431,Q945901,parent - child,5007
Q312053,Q945977,parent - child,133
Q1313843,Q946087,parent - child,6073
Q705748,Q946101,parent - child,1086
Q889109,Q946591,parent - child,5193
Q4983880,Q946885,parent - child,3937
Q329,Q946961,parent - child,786
Q3898147,Q946961,grandparent - child,786
Q233253,Q947101,parent - child,85
Q442398,Q947101,grandparent - child,85
Q42775,Q947101,parent - child,85
Q222944,Q947150,parent - child,6003
Q7327301,Q947326,parent - child,3245
Q441424,Q948920,parent - child,4244
Q134549,Q948920,parent - child,4244
Q312258,Q949017,parent - child,3109
Q229990,Q949017,parent - child,3109
Q313046,Q949337,parent - child,2458
Q2067198,Q949337,parent - child,2458
Q346411,Q949883,parent - child,3466
Q11790031,Q933109,parent - child,5629
Q172255,Q933837,parent - child,849
Q355923,Q933973,parent - child,1573
Q3349226,Q934080,parent - child,3362
Q3470333,Q934221,parent - child,753
Q432069,Q934831,parent - child,197
Q230499,Q934831,grandparent - child,197
Q94334,Q935320,parent - child,87
Q155004,Q935320,parent - child,87
Q3911,Q935320,grandparent - child,87
Q31129,Q935320,grandparent - child,87
Q83233,Q936663,parent - child,2670
Q5247049,Q936816,parent - child,5739
Q3839753,Q982793,parent - child,1704
Q3742246,Q982793,parent - child,1704
Q313868,Q982872,parent - child,3368
Q7404563,Q983053,parent - child,3100
Q518385,Q983081,parent - child,144
Q2899899,Q983258,parent - child,2293
Q295141,Q983258,parent - child,2293
Q285536,Q983324,parent - child,2121
Q1463,Q983324,parent - child,2121
Q21078155,Q983402,parent - child,5216
Q2035131,Q983419,parent - child,622
Q470875,Q983475,parent - child,4527
Q515486,Q983479,parent - child,1398
Q111550169,Q983503,parent - child,3761
Q7881176,Q983843,parent - child,2607
Q2332464,Q984367,parent - child,6172
Q1895804,Q984509,parent - child,1617
Q3014239,Q964801,parent - child,4280
Q5619018,Q966498,parent - child,1835
Q922267,Q966522,parent - child,2368
Q5751198,Q966522,parent - child,2368
Q2778276,Q966848,parent - child,2757
Q444509,Q968602,parent - child,3567
Q765,Q968602,parent - child,3567
Q431750,Q968773,parent - child,828
Q7850266,Q969607,parent - child,2061
Q108110742,Q937682,parent - child,2111
Q250828,Q937682,parent - child,2111
Q1343524,Q938063,parent - child,2996
Q3310623,Q938263,parent - child,4898
Q2706644,Q938413,parent - child,5934
Q2069848,Q938774,parent - child,1951
Q15274548,Q939629,parent - child,3348
Q626730,Q939662,parent - child,4343
Q5545340,Q1033777,parent - child,1427
Q5395177,Q1034094,parent - child,2353
Q16489686,Q1034094,parent - child,2353
Q731324,Q1034427,parent - child,5264
Q12355596,Q1034618,parent - child,6086
Q912663,Q1036233,parent - child,4264
Q1037428,Q1037241,parent - child,14
Q65350,Q1037331,parent - child,3200
Q1037874,Q1037881,parent - child,4179
Q1327134,Q1037881,parent - child,4179
Q12339586,Q984350,parent - child,3263
Q3545220,Q985882,parent - child,4018
Q164521,Q986393,parent - child,5957
Q986994,Q986986,parent - child,2016
Q942804,Q987709,parent - child,6166
Q987932,Q987947,parent - child,4299
Q508844,Q987947,parent - child,4299
Q55438,Q987976,parent - child,1983
Q988047,Q988040,parent - child,2451
Q988047,Q988045,parent - child,2451
Q38849,Q992930,parent - child,226
Q77969,Q970992,parent - child,174
Q16550409,Q971234,parent - child,221
Q343652,Q971617,parent - child,481
Q172854,Q971674,parent - child,3249
Q611672,Q971927,parent - child,4754
Q25493886,Q971997,parent - child,3826
Q449600,Q972265,parent - child,563
Q5418252,Q972265,grandparent - child,563
Q12408972,Q972598,parent - child,5315
Q171635,Q973010,parent - child,596
Q436535,Q973774,parent - child,4865
Q1469116,Q974878,parent - child,1629
Q187033,Q975203,parent - child,1302
Q511926,Q975203,grandparent - child,1302
Q43203,Q976575,parent - child,1369
Q3398027,Q994769,parent - child,4695
Q1561439,Q999332,parent - child,774
Q776543,Q1002822,parent - child,5980
Q102139,Q1004037,parent - child,697
Q163010,Q1004037,grandparent - child,697
Q1389258,Q1004037,parent - child,697
Q272905,Q1004751,parent - child,697
Q159101,Q1004751,parent - child,697
Q102139,Q1004751,grandparent - child,697
Q1389258,Q1004751,grandparent - child,697
Q1005959,Q1005957,parent - child,75
Q3990167,Q1006265,parent - child,8
Q554689,Q1006328,parent - child,6013
Q1056814,Q1007345,parent - child,2897
Q1007829,Q1007826,parent - child,2764
Q808971,Q948705,parent - child,910
Q3302355,Q948977,parent - child,1742
Q1367643,Q949046,parent - child,74
Q16130742,Q949349,parent - child,1758
Q539372,Q949482,parent - child,5185
Q116762352,Q950517,parent - child,4724
Q469352,Q950958,parent - child,2528
Q16560091,Q951298,parent - child,767
Q710080,Q951412,parent - child,5608
Q6838588,Q952565,parent - child,2149
Q3441312,Q952826,parent - child,479
Q1468528,Q952953,parent - child,3108
Q7151240,Q952994,parent - child,4583
Q450236,Q953717,parent - child,1042
Q224859,Q1040930,parent - child,984
Q2376224,Q1040930,parent - child,984
Q601495,Q1042251,parent - child,5601
Q299419,Q1042396,parent - child,4381
Q43252,Q1042396,parent - child,4381
Q157921,Q1044343,parent - child,2818
Q543809,Q1044420,parent - child,1485
Q18681523,Q1044457,parent - child,3990
Q229162,Q1048498,parent - child,2183
Q80504,Q1048498,parent - child,2183
Q215012,Q1049830,parent - child,2123
Q3925,Q1049830,grandparent - child,2123
Q185025,Q1049830,grandparent - child,2123
Q7498691,Q976563,parent - child,446
Q3082240,Q977150,parent - child,5316
Q822594,Q977974,parent - child,4165
Q3458853,Q978224,parent - child,4767
Q16150637,Q978581,parent - child,4344
Q7244586,Q978898,parent - child,511
Q1758863,Q978898,grandparent - child,511
Q2431719,Q978898,grandparent - child,511
Q2414301,Q978898,parent - child,511
Q1362941,Q978898,grandparent - child,511
Q510320,Q979131,parent - child,423
Q179150,Q979387,parent - child,2768
Q12003,Q979387,parent - child,2768
Q941402,Q980747,parent - child,868
Q607,Q980958,parent - child,4896
Q2143602,Q981579,parent - child,5090
Q973801,Q981598,parent - child,3166
Q175453,Q981898,parent - child,5351
Q200678,Q981927,parent - child,43
Q57464,Q981927,parent - child,43
Q269898,Q981927,grandparent - child,43
Q146906,Q981927,grandparent - child,43
Q296698,Q959087,parent - child,2234
Q3311678,Q959087,parent - child,2234
Q2361659,Q959153,parent - child,5534
Q3103273,Q959600,parent - child,4108
Q223771,Q959607,parent - child,449
Q3844447,Q959607,parent - child,449
Q1356461,Q959778,parent - child,1724
Q12814394,Q1007841,parent - child,2098
Q2125,Q1009304,parent - child,4110
Q158258,Q1009513,parent - child,1037
Q160770,Q1009513,grandparent - child,1037
Q170184,Q1009513,grandparent - child,1037
Q236678,Q1009513,parent - child,1037
Q53052,Q1010436,parent - child,508
Q65389,Q1016344,parent - child,1294
Q2793470,Q1016897,parent - child,3268
Q6387843,Q1017860,parent - child,1509
Q211553,Q1055604,parent - child,3809
Q1573154,Q1056638,parent - child,2206
Q221153,Q1056638,parent - child,2206
Q92740,Q1057010,parent - child,4642
Q4707074,Q1057926,parent - child,1478
Q6297411,Q1057926,parent - child,1478
Q36290,Q1057939,parent - child,879
Q159347,Q1058602,parent - child,1114
Q194762,Q1058602,parent - child,1114
Q78051,Q1058985,parent - child,721
Q1075132,Q1059471,parent - child,4934
Q6812871,Q1059572,parent - child,5229
Q167846,Q1059948,parent - child,826
Q1303674,Q1060139,parent - child,5860
Q235168,Q1060355,parent - child,208
Q435468,Q1060908,parent - child,4552
Q460960,Q1061685,parent - child,171
Q154952,Q1061685,parent - child,171
Q159609,Q1061685,grandparent - child,171
Q29574,Q1061685,grandparent - child,171
Q12069158,Q1063412,parent - child,155
Q258820,Q1063412,parent - child,155
Q55407,Q1063412,grandparent - child,155
Q301736,Q1063677,parent - child,586
Q6225906,Q1063940,parent - child,5242
Q7173853,Q1064273,parent - child,965
Q335796,Q1065042,parent - child,2561
Q117310521,Q954678,parent - child,5653
Q37793206,Q955347,parent - child,6130
Q1642981,Q955360,parent - child,5378
Q131285,Q957024,parent - child,2068
Q527841,Q957024,parent - child,2068
Q456357,Q957024,grandparent - child,2068
Q71633,Q957463,parent - child,4613
Q72078,Q957463,parent - child,4613
Q1347844,Q957690,parent - child,3410
Q112163474,Q957748,parent - child,5061
Q1341997,Q958529,parent - child,4055
Q5326459,Q958669,parent - child,308
Q548122,Q959455,parent - child,822
Q455578,Q959548,parent - child,1588
Q714238,Q960208,parent - child,4538
Q928374,Q960356,parent - child,4054
Q11470254,Q1050102,parent - child,670
Q3362638,Q1050695,parent - child,2157
Q708473,Q1050970,parent - child,747
Q3385456,Q1050982,parent - child,5552
Q3362638,Q1052910,parent - child,2157
Q1370767,Q1053060,parent - child,3351
Q463651,Q1053409,parent - child,1271
Q3876321,Q1055202,parent - child,3531
Q56760831,Q1055540,parent - child,3732
Q670440,Q1081317,parent - child,2995
Q1593920,Q1081838,parent - child,4498
Q3661786,Q1082088,parent - child,3815
Q234101,Q1083729,parent - child,4742
Q11523469,Q1083729,grandparent - child,4742
Q67180966,Q1083732,parent - child,3303
Q229556,Q1083816,parent - child,859
Q87661,Q1085033,parent - child,6027
Q114150,Q1086138,parent - child,5398
Q378098,Q1086549,parent - child,5767
Q345517,Q1086823,parent - child,5662
Q432694,Q1086823,parent - child,5662
Q1073424,Q1086832,parent - child,4864
Q16472,Q1086852,parent - child,3597
Q1281308,Q1066565,parent - child,1625
Q7909476,Q1069031,parent - child,5338
Q128245,Q1070829,parent - child,360
Q164111,Q1070829,parent - child,360
Q6405209,Q1070829,grandparent - child,360
Q739948,Q1072233,parent - child,6159
Q280657,Q1073289,parent - child,1562
Q229881,Q1073289,parent - child,1562
Q3343458,Q1116880,parent - child,1186
Q268910,Q1116880,grandparent - child,1186
Q55452,Q1116880,parent - child,1186
Q1467558,Q1122401,parent - child,4889
Q223611,Q1128210,parent - child,5460
Q94334,Q1147467,parent - child,87
Q155004,Q1147467,parent - child,87
Q3911,Q1147467,grandparent - child,87
Q31129,Q1147467,grandparent - child,87
Q4425151,Q1149198,parent - child,4706
Q718239,Q1150479,parent - child,5274
Q373570,Q1151367,parent - child,1152
Q435203,Q1151854,parent - child,2531
Q1605571,Q1151854,parent - child,2531
Q232636,Q1152111,parent - child,1145
Q311174,Q1152111,parent - child,1145
Q37979,Q1152111,grandparent - child,1145
Q87610,Q1152111,grandparent - child,1145
Q487043,Q1184107,parent - child,1197
Q2393245,Q1185256,parent - child,1607
Q560622,Q1185256,parent - child,1607
Q6373530,Q1187133,parent - child,4212
Q2278468,Q1188501,parent - child,4489
Q310012,Q1189353,parent - child,5210
Q7329701,Q1189433,parent - child,4230
Q287824,Q1190134,parent - child,4760
Q3526595,Q1190856,parent - child,5444
Q313956,Q1192750,parent - child,384
Q335110,Q1193449,parent - child,2817
Q65051467,Q1196262,parent - child,55
Q3090493,Q1196262,parent - child,55
Q6641772,Q1089400,parent - child,326
Q1247114,Q1089400,grandparent - child,326
Q13023300,Q1089400,grandparent - child,326
Q855252,Q1089410,parent - child,2228
Q164518,Q1089410,parent - child,2228
Q16140662,Q1089410,grandparent - child,2228
Q335260,Q1091237,parent - child,95
Q16012729,Q1091237,grandparent - child,95
Q153815,Q1091237,parent - child,95
Q1143037,Q1094127,parent - child,5927
Q862090,Q1094245,parent - child,5848
Q1096729,Q1096723,parent - child,2335
Q460960,Q1076063,parent - child,171
Q154952,Q1076063,parent - child,171
Q159609,Q1076063,grandparent - child,171
Q29574,Q1076063,grandparent - child,171
Q315258,Q1077542,parent - child,2877
Q28357044,Q1080849,parent - child,1912
Q27928492,Q1080849,parent - child,1912
Q12764045,Q1080884,parent - child,4412
Q1176446,Q1127230,parent - child,3342
Q1224458,Q1127230,parent - child,3342
Q11171152,Q1130449,parent - child,1468
Q433683,Q1132228,parent - child,1123
Q137808,Q1132228,grandparent - child,1123
Q11557962,Q1132836,parent - child,3008
Q61561,Q1132847,parent - child,5369
Q11606067,Q1133192,parent - child,2753
Q66805,Q1133415,parent - child,3136
Q11386656,Q1150600,parent - child,4361
Q1388244,Q1154174,parent - child,5233
Q2425939,Q1155063,parent - child,3668
Q4307815,Q1155890,parent - child,1062
Q6143061,Q1156675,parent - child,5724
Q382420,Q1158726,parent - child,6024
Q2334778,Q1159122,parent - child,4309
Q1033656,Q1159900,parent - child,5723
Q111884419,Q1159991,parent - child,4674
Q186146,Q1161024,parent - child,222
Q1161848,Q1161847,parent - child,4311
Q1288162,Q1161847,parent - child,4311
Q17515,Q1199119,parent - child,699
Q312053,Q1199338,parent - child,133
Q94334,Q1199838,parent - child,87
Q155004,Q1199838,parent - child,87
Q3911,Q1199838,grandparent - child,87
Q31129,Q1199838,grandparent - child,87
Q7404563,Q1203191,parent - child,3100
Q107620062,Q1204117,parent - child,4809
Q58147935,Q1204117,parent - child,4809
Q233966,Q1208034,parent - child,2123
Q3925,Q1208034,grandparent - child,2123
Q185025,Q1208034,grandparent - child,2123
Q739253,Q1210791,parent - child,1239
Q930013,Q1212263,parent - child,1441
Q563765,Q1212263,parent - child,1441
Q971432,Q1212982,parent - child,3950
Q645649,Q1213137,parent - child,1716
Q903692,Q1213165,parent - child,1673
Q109335918,Q1214143,parent - child,70
Q480378,Q1214207,parent - child,4915
Q1214024,Q1214426,parent - child,3239
Q106036,Q1215287,parent - child,6082
Q158258,Q1217757,parent - child,1037
Q160770,Q1217757,grandparent - child,1037
Q170184,Q1217757,grandparent - child,1037
Q236678,Q1217757,parent - child,1037
Q335797,Q1221764,parent - child,3257
Q561954,Q1097640,parent - child,6165
Q538376,Q1097805,parent - child,1321
Q105711966,Q1098169,parent - child,2821
Q316325,Q1099591,parent - child,4611
Q259240,Q1099681,parent - child,1304
Q12252362,Q1100427,parent - child,3038
Q18507451,Q1100427,parent - child,3038
Q11856762,Q1100918,parent - child,5121
Q16031519,Q1100918,parent - child,5121
Q923023,Q1101492,parent - child,1026
Q570832,Q1101492,parent - child,1026
Q2004409,Q1101612,parent - child,5509
Q1101996,Q1101995,parent - child,4558
Q1102421,Q1102425,parent - child,70
Q1214143,Q1102425,parent - child,70
Q109335918,Q1102425,grandparent - child,70
Q201579,Q1104724,parent - child,3866
Q2721855,Q1105021,parent - child,4876
Q1120281,Q1105176,parent - child,1524
Q1118695,Q1105723,parent - child,4585
Q1106314,Q1106308,parent - child,1351
Q12814874,Q1106870,parent - child,6037
Q15441552,Q1107675,parent - child,1788
Q449928,Q1230539,parent - child,1779
Q1420990,Q1230910,parent - child,5244
Q20742876,Q1230910,grandparent - child,5244
Q55825648,Q1230910,parent - child,5244
Q1232260,Q1232263,parent - child,2624
Q1232558,Q1232552,parent - child,2215
Q319527,Q1232804,parent - child,2626
Q1330169,Q1133888,parent - child,2129
Q84524,Q1133888,grandparent - child,2129
Q3472092,Q1134401,parent - child,138
Q3726064,Q1136235,parent - child,2181
Q200768,Q1139078,parent - child,249
Q167498,Q1139078,parent - child,249
Q1087997,Q1139714,parent - child,2147
Q1933507,Q1139993,parent - child,2529
Q20100355,Q1140263,parent - child,512
Q155712,Q1140914,parent - child,2249
Q202725,Q1140914,parent - child,2249
Q230084,Q1140914,grandparent - child,2249
Q547495,Q1140914,grandparent - child,2249
Q5462919,Q1141271,parent - child,517
Q608477,Q1220434,parent - child,4494
Q600757,Q1220434,parent - child,4494
Q108414168,Q1220651,parent - child,3659
Q43299726,Q1220669,parent - child,5011
Q1221507,Q1221503,parent - child,4955
Q1222760,Q1222758,parent - child,1409
Q257083,Q1225089,parent - child,5047
Q1225,Q1225089,parent - child,5047
Q1109222,Q1109120,parent - child,4125
Q1299893,Q1110430,parent - child,6042
Q164995,Q1115871,parent - child,4853
Q1286078,Q1286079,parent - child,4979
Q66431260,Q1286280,parent - child,5503
Q939319,Q1286582,parent - child,2831
Q468470,Q1286582,parent - child,2831
Q26721062,Q1160474,parent - child,5189
Q12351043,Q1160778,parent - child,2144
Q11724201,Q1161716,parent - child,5578
Q5985117,Q1163000,parent - child,3685
Q2301616,Q1163326,parent - child,1789
Q1322185,Q1164209,parent - child,2416
Q1052657,Q1164762,parent - child,1988
Q926235,Q1164826,parent - child,565
Q568426,Q1165507,parent - child,3230
Q241972,Q1166087,parent - child,5823
Q3165234,Q1171148,parent - child,3665
Q1911276,Q1173593,parent - child,5488
Q47582135,Q1174481,parent - child,988
Q983286,Q1174726,parent - child,4200
Q942541,Q1174945,parent - child,3749
Q236321,Q1175076,parent - child,13
Q5416419,Q1175569,parent - child,5824
Q1752107,Q1175859,parent - child,2554
Q1000556,Q1176155,parent - child,4390
Q1379005,Q1176310,parent - child,1347
Q431565,Q1176599,parent - child,4388
Q339631,Q1176800,parent - child,4297
Q215359,Q1181118,parent - child,170
Q978918,Q1182285,parent - child,4062
Q123454,Q1236775,parent - child,5527
Q3383897,Q1238159,parent - child,5553
Q520352,Q1238235,parent - child,2078
Q1924889,Q1238593,parent - child,2949
Q28468064,Q1238901,parent - child,1212
Q4714124,Q1239291,parent - child,6147
Q1240103,Q1240224,parent - child,1204
Q260179,Q1242187,parent - child,2647
Q1298999,Q1242187,grandparent - child,2647
Q1610305,Q1242452,parent - child,703
Q16524901,Q1244152,parent - child,648
Q2476169,Q1244957,parent - child,792
Q234576,Q1245704,parent - child,4544
Q779656,Q1252670,parent - child,4663
Q251729,Q1252914,parent - child,5459
Q186308,Q1255088,parent - child,2965
Q1255267,Q1255266,parent - child,3471
Q1255273,Q1255266,grandparent - child,3471
Q1255273,Q1255267,parent - child,3471
Q1255273,Q1255275,parent - child,3471
Q3542230,Q1255575,parent - child,718
Q617562,Q1256817,parent - child,932
Q548323,Q1258856,parent - child,5362
Q7161085,Q1260279,parent - child,1433
Q153381,Q1260666,parent - child,2194
Q6004142,Q1261399,parent - child,6223
Q193062,Q1261399,parent - child,6223
Q2264967,Q1262756,parent - child,3482
Q2083271,Q1262756,parent - child,3482
Q1682148,Q1264985,parent - child,4281
Q4636,Q1335786,parent - child,207
Q314805,Q1335786,parent - child,207
Q259571,Q1336685,parent - child,3743
Q2903404,Q1336685,parent - child,3743
Q823053,Q1337241,parent - child,3463
Q1631826,Q1337643,parent - child,375
Q5712859,Q1338044,parent - child,4075
Q156268,Q1338188,parent - child,6056
Q78884,Q1338563,parent - child,1393
Q75062,Q1340708,parent - child,1164
Q156781,Q1340708,parent - child,1164
Q945411,Q1299706,parent - child,2827
Q154556,Q1311188,parent - child,1677
Q855252,Q1315769,parent - child,2228
Q164518,Q1315769,parent - child,2228
Q16140662,Q1315769,grandparent - child,2228
Q1288915,Q1288905,parent - child,4669
Q1011759,Q1288905,parent - child,4669
Q1585826,Q1289901,parent - child,5765
Q1556803,Q1291158,parent - child,1548
Q62515,Q1291611,parent - child,3044
Q30169233,Q1292032,parent - child,702
Q462656,Q1293362,parent - child,4774
Q4768199,Q1294039,parent - child,1383
Q104027,Q1294039,parent - child,1383
Q949623,Q1293814,parent - child,2277
Q594644,Q1294442,parent - child,2801
Q2054617,Q1295091,parent - child,5359
Q1338975,Q1296492,parent - child,4597
Q1298532,Q1298540,parent - child,2294
Q380952,Q1299566,parent - child,4562
Q11104491,Q1315762,parent - child,5406
Q1317010,Q1317011,parent - child,3251
Q379538,Q1319546,parent - child,21
Q43203,Q1320494,parent - child,1369
Q445608,Q1321598,parent - child,757
Q44517,Q1322819,parent - child,6035
Q1249211,Q1249220,parent - child,353
Q629397,Q1249619,parent - child,2989
Q4796513,Q1250743,parent - child,3184
Q1250789,Q1250796,parent - child,2222
Q1266200,Q1266160,parent - child,2109
Q794871,Q1266160,parent - child,2109
Q532983,Q1267570,parent - child,1067
Q271933,Q1267622,parent - child,3775
Q105580621,Q1268462,parent - child,5446
Q5791043,Q1268679,parent - child,4777
Q6072974,Q1272325,parent - child,1401
Q1927059,Q1273429,parent - child,2816
Q4159080,Q1274170,parent - child,194
Q186691,Q1274170,parent - child,194
Q539582,Q1276918,parent - child,1186
Q55452,Q1276918,parent - child,1186
Q670075,Q1276954,parent - child,520
Q1117100,Q1357095,parent - child,5588
Q7313216,Q1357095,parent - child,5588
Q75572,Q1357125,parent - child,5594
Q328424,Q1361260,parent - child,628
Q20657718,Q1361260,grandparent - child,628
Q4439403,Q1284657,parent - child,4840
Q4938038,Q1284738,parent - child,113
Q1579484,Q1339021,parent - child,2981
Q20732254,Q1339485,parent - child,362
Q10392749,Q1339597,parent - child,1410
Q1339597,Q1339597,grandparent - child,1410
Q1659008,Q1340169,parent - child,4069
Q80399,Q1340169,grandparent - child,4069
Q1586536,Q1340936,parent - child,1505
Q11765411,Q1341322,parent - child,6190
Q314067,Q1342340,parent - child,1484
Q593919,Q1343292,parent - child,2742
Q1224132,Q1343442,parent - child,3040
Q348209,Q1344275,parent - child,419
Q60206,Q1344931,parent - child,2664
Q4980156,Q1345138,parent - child,1216
Q359645,Q1345138,grandparent - child,1216
Q1283268,Q1345514,parent - child,2588
Q438537,Q1345514,parent - child,2588
Q4307615,Q1345934,parent - child,936
Q97353,Q1345938,parent - child,2984
Q12497067,Q1279930,parent - child,5711
Q1309018,Q1281364,parent - child,5298
Q118078,Q1285579,parent - child,3183
Q1252302,Q1378199,parent - child,3773
Q1680811,Q1378351,parent - child,1103
Q193146,Q1379066,parent - child,779
Q1376143,Q1379189,parent - child,1088
Q518550,Q1379351,parent - child,5995
Q2356507,Q1379643,parent - child,2709
Q269014,Q1379996,parent - child,2765
Q65031547,Q1381603,parent - child,1624
Q506401,Q1382544,parent - child,4757
Q7781078,Q1382544,parent - child,4757
Q132322,Q1383300,parent - child,4594
Q453394,Q1383988,parent - child,3850
Q107547888,Q1323218,parent - child,2636
Q289350,Q1328771,parent - child,5168
Q11678558,Q1329206,parent - child,3447
Q84524,Q1330169,parent - child,2129
Q85112,Q1330186,parent - child,3538
Q65350,Q1330201,parent - child,3200
Q75572,Q1330492,parent - child,5594
Q11944599,Q1399049,parent - child,2224
Q466285,Q1399260,parent - child,4261
Q7282307,Q1399637,parent - child,4325
Q1400048,Q1400055,parent - child,1005
Q20988914,Q1400307,parent - child,6040
Q444481,Q1400580,parent - child,3963
Q186042,Q1400658,parent - child,3580
Q3890688,Q1403199,parent - child,3269
Q109973741,Q1403199,grandparent - child,3269
Q7378863,Q1331145,parent - child,3647
Q1264825,Q1331538,parent - child,754
Q28049543,Q1333629,parent - child,1238
Q2932464,Q1335349,parent - child,1188
Q321892,Q1335527,parent - child,4071
Q5363774,Q1361931,parent - child,5069
Q11940974,Q1362232,parent - child,3936
Q2018091,Q1362295,parent - child,5342
Q9376941,Q1362691,parent - child,4329
Q13460644,Q1363394,parent - child,4484
Q1258024,Q1363962,parent - child,1414
Q3830275,Q1364214,parent - child,2553
Q19787935,Q1364442,parent - child,187
Q296630,Q1364747,parent - child,3825
Q104000,Q1364747,parent - child,3825
Q2737,Q1366088,parent - child,160
Q1682422,Q1366279,parent - child,3526
Q580027,Q1366602,parent - child,1975
Q8774815,Q1367152,parent - child,2947
Q353915,Q1367942,parent - child,1611
Q433201,Q1367942,grandparent - child,1611
Q47426,Q1367942,grandparent - child,1611
Q57701,Q1346832,parent - child,1615
Q18237129,Q1347731,parent - child,4456
Q3131852,Q1348641,parent - child,4854
Q5642370,Q1349134,parent - child,4738
Q1682029,Q1349134,parent - child,4738
Q40912,Q1349639,parent - child,4290
Q55517707,Q1349639,parent - child,4290
Q272688,Q1351715,parent - child,3475
Q4582071,Q1383957,parent - child,3283
Q6883628,Q1384822,parent - child,1442
Q11872674,Q1385634,parent - child,2572
Q400059,Q1385651,parent - child,2488
Q7035974,Q1385651,parent - child,2488
Q25310,Q1386420,parent - child,1997
Q258661,Q1386420,parent - child,1997
Q2720141,Q1387724,parent - child,1514
Q55381,Q1387804,parent - child,5361
Q1362474,Q1389078,parent - child,594
Q271348,Q1389078,parent - child,594
Q542057,Q1389259,parent - child,1644
Q338365,Q1390137,parent - child,4185
Q207834,Q1390137,parent - child,4185
Q707374,Q1390745,parent - child,3456
Q1818862,Q1351128,parent - child,3998
Q888171,Q1351536,parent - child,4255
Q29559654,Q1351692,parent - child,1903
Q22910689,Q1352734,parent - child,5232
Q25310,Q1352872,parent - child,1997
Q258661,Q1352872,parent - child,1997
Q238243,Q1353845,parent - child,3829
Q7346,Q1353845,parent - child,3829
Q7925464,Q1353962,parent - child,5729
Q3482361,Q1354302,parent - child,5511
Q2316502,Q1355087,parent - child,63
Q549141,Q1368185,parent - child,1681
Q330944,Q1368234,parent - child,5646
Q1380993,Q1368398,parent - child,549
Q912365,Q1369368,parent - child,3441
Q529934,Q1369819,parent - child,4643
Q91513,Q1370118,parent - child,5727
Q358519,Q1370223,parent - child,4526
